EmployeeID,Name,Department,Age,Salary,City,JoiningDate,Email,Phone,Performance
1454,Randall Richardson,Sales,27.0,63251,South Chadport,2019/11/06,nelsonryan@griffin.com,9745717285,Average
1638,Valerie Garcia MD,Finance,,84957,Lake John,19-08-2019,charles55@hotmail.com,3291973649,Average
2134,  MEGAN OSBORN  ,IT,27.0,114707,New Rachelmouth,07-06-2020,hurleyjason@gmail.com,0535084375,Good
1452,Sharon Bonilla,IT,55.0,78545,Lake Tinafurt,2021/06/01,valeriecain@yahoo.com,6002709228,Average
1867,  SANDRA GRAHAM  ,HR,44.0,96729,North Veronica,17-07-2020,christine46@gmail.com,6802411051,Poor
2068,Kristy Martin,Finance,27.0,91323,Danielville,06/03/2020,stevencannon@gmail.com,1028456507,Excellent
1421,Shelley Pace,HR,45.0,107757,New Victorshire,14-03-2019,epitts@gmail.com,5090585316,Poor
1275,Michael Ramirez,Operations,59.0,55994,Reneeborough,2020/11/07,sjohnson@gmail.com,0296236077,Good
1652,Dawn Jackson,Sales,40.0,33321,West Robert,2019/02/13,umiller@gmail.com,4831527774,Excellent
1467,Ashley Dixon,Finance,49.0,96420,Millerton,2020/06/20,aliciamartin@howard-williams.com,9436923996,Poor
1452,Kenneth Brown,Sales,45.0,59158,North Gabriel,23-12-2023,martinezrichard@yahoo.com,5738183212,Good
1745,  DAVID WALKER  ,IT,36.0,99039,Sophiafurt,02-11-2024,andrewjoseph@yahoo.com,7371093442,Average
1482,  CYNTHIA JOHNSON  ,Finance,40.0,77144,Lake Kathy,03/21/2023,raymondnorris@miller.com,7048396994,Poor
1931,  CHAD CARSON  ,Marketing,42.0,47368,West Cynthia,09/06/2020,thomas41@yahoo.com,8930800843,Average
1421,Mark Clark,Finance,53.0,75368,Port Juliemouth,2018/12/15,adavies@whitaker-carlson.info,4971948257,Good
1129,Daniel Griffin,Marketing,44.0,78996,New Stephanietown,03/05/2022,smithregina@shea.com,0091916443,Good
1123,Rhonda Nixon,Marketing,,29448,Port Debra,21-05-2025,alexandrapaynethomas.net,7700299807,Good
1428,  COURTNEY TAYLOR  ,Marketing,60.0,88015,Nashview,01/02/2025,ashley63@yahoo.com,2054664657,Poor
1762,Nicole Reed,Marketing,47.0,63098,Cannonview,2021/08/30,johnsontimothy@murphy-zamora.org,4903366350,Poor
2068,Tara Smith,Sales,52.0,52027,Cassandramouth,10-04-2024,michelle99@townsend.com,6521094688,Average
1534,Melissa Walton,Marketing,29.0,71300,South Shane,2025/06/21,phillipmendez@jimenez-villa.org,9865416559,Excellent
