EmployeeID,Name,Department,Age,Salary,City,JoiningDate,Email,Phone,Performance
1454,Randall Richardson,Sales,27,63251,South Chadport,2019-11-06,nelsonryan@griffin.com,9745717285,Average
1638,Valerie Garcia Md,Finance,40,84957,Lake John,2019-08-19,charles55@hotmail.com,3291973649,Average
2134,Megan Osborn,IT,27,114707,New Rachelmouth,2020-07-06,hurleyjason@gmail.com,Invalid Number,Good
1452,Sharon Bonilla,IT,55,78545,Lake Tinafurt,2021-06-01,valeriecain@yahoo.com,6002709228,Average
1867,Sandra Graham,HR,44,96729,North Veronica,2020-07-17,christine46@gmail.com,6802411051,Poor
2068,Kristy Martin,Finance,27,91323,Danielville,2020-06-03,stevencannon@gmail.com,1028456507,Excellent
1421,Shelley Pace,HR,45,107757,New Victorshire,2019-03-14,epitts@gmail.com,5090585316,Poor
1275,Michael Ramirez,Operations,59,55994,Reneeborough,2020-11-07,sjohnson@gmail.com,Invalid Number,Good
1652,Dawn Jackson,Sales,40,33321,West Robert,2019-02-13,umiller@gmail.com,4831527774,Excellent
1467,Ashley Dixon,Finance,49,96420,Millerton,2020-06-20,aliciamartin@howard-williams.com,9436923996,Poor
1745,David Walker,IT,36,99039,Sophiafurt,2024-02-11,andrewjoseph@yahoo.com,7371093442,Average
1482,Cynthia Johnson,Finance,40,77144,Lake Kathy,2023-03-21,raymondnorris@miller.com,7048396994,Poor
1931,Chad Carson,Marketing,42,47368,West Cynthia,2020-09-06,thomas41@yahoo.com,8930800843,Average
1129,Daniel Griffin,Marketing,44,78996,New Stephanietown,2022-03-05,smithregina@shea.com,Invalid Number,Good
1123,Rhonda Nixon,Marketing,40,29448,Port Debra,2025-05-21,Invalid Email,7700299807,Good
1428,Courtney Taylor,Marketing,60,88015,Nashview,2025-01-02,ashley63@yahoo.com,2054664657,Poor
1762,Nicole Reed,Marketing,47,63098,Cannonview,2021-08-30,johnsontimothy@murphy-zamora.org,4903366350,Poor
1534,Melissa Walton,Marketing,29,71300,South Shane,2025-06-21,phillipmendez@jimenez-villa.org,9865416559,Excellent
2115,James Davis,Operations,39,104959,Port Jennifer,2019-05-25,rodriguezjason@hancock-maldonado.com,8277943059,Good
1573,Brian Grimes,Finance,48,79413,Lake Sarahfurt,2023-05-06,markyoung@gmail.com,4666763289,Excellent
1793,Steven Johnson,Finance,54,84131,Claireborough,2025-10-21,veronicareynolds@yahoo.com,2682682492,Excellent
1086,Katherine Dawson,Operations,49,109678,Lake Elizabeth,2025-10-27,jessicaflowers@yahoo.com,2025437547,Good
1159,Jason Lynn,Sales,39,56518,Wrightborough,2022-03-19,rebecca23@yahoo.com,4865240156,Average
1624,Natalie Jones,IT,54,62161,North Johnfurt,2024-11-19,jgomez@hotmail.com,8901753054,Good
1375,Nathan Coleman,HR,32,35487,Port Charlesmouth,2026-11-04,millermark@daniels.biz,5789106670,Excellent
1246,Ryan Anthony,HR,41,88010,North Glennfurt,2020-04-24,ryanhenry@gmail.com,2312214001,Poor
1729,Scott Burke,HR,58,51499,Port Ericview,2024-09-16,ortizrebecca@rodriguez-myers.com,8036300710,Excellent
2009,Michelle Frey,Finance,53,102990,Port Patrick,2019-12-06,tommymiller@olson.com,4414719113,Good
1968,Nicholas Smith,IT,23,37978,Port Brettton,2026-03-18,kellypatton@gmail.com,8673074005,Poor
1263,Paul Sullivan,Operations,52,117916,North Sarah,2026-05-31,grace56@griffin.com,6333947763,Excellent
2091,Phillip Ramirez,Marketing,51,100786,Dunlapstad,2023-04-27,daniel46@tran.org,7044206576,Excellent
1258,Lisa Allen,Marketing,53,26542,South Angelaport,2019-05-03,jordan96@yahoo.com,7421212253,Poor
1174,Carrie Bowen,Operations,50,26938,Karenville,2025-04-26,kaylasanchez@leonard.info,8208366784,Excellent
1909,Sara Yates,Marketing,52,77678,North Dennishaven,2021-07-12,Invalid Email,5208983358,Poor
1408,Bradley Brown,Finance,31,101689,Lake Cassidyton,2019-04-18,rwilliams@hotmail.com,2328103110,Average
1451,Steven Rivera,IT,52,92659,Rachelland,2021-03-27,meadowsmichael@richardson-jones.info,8893646557,Excellent
1005,Joshua Gillespie,HR,32,86784,West Bruce,2019-05-28,jamesperez@hotmail.com,4911109492,Average
1744,Regina Morris,Finance,54,109961,East James,2021-02-21,Invalid Email,4497052085,Poor
1445,Gerald Burgess,HR,58,47073,Jonathanview,2020-08-15,baileydawn@hotmail.com,9506468074,Average
1742,Kelly Tucker,Operations,42,42861,Leonardland,2020-01-13,cheyennedixon@hotmail.com,5263989906,Good
1092,Michael Taylor,IT,31,39894,West Sandraport,2023-02-10,mariaschmidt@gmail.com,7463762587,Average
1697,Nicole Williams,HR,40,110885,Lewisberg,2024-02-14,Invalid Email,8116594401,Average
1559,Stephanie Green,HR,28,66960,North Brucemouth,2021-08-23,brian00@rosales-sanchez.com,4719626092,Excellent
1746,Mary Turner,IT,59,104043,Markview,2021-10-27,reyesmichael@gmail.com,Invalid Number,Excellent
1395,Tyler Brooks,Marketing,38,110887,North Richard,2024-01-16,staceybutler@diaz.info,1327698789,Good
1276,Karen Jones,Operations,43,43432,Wendybury,2021-12-30,alexander59@hill-vargas.com,4115358970,Good
1050,Jessica Zimmerman,Sales,55,47916,Port Annton,2018-09-28,carlashort@barrett.com,2314552394,Good
1342,Alejandra Smith,Finance,28,65739,East Patrick,2021-01-29,jonesrachael@gmail.com,4212921341,Good
1184,Brian Romero,Sales,53,76378,New Candace,2026-04-13,scottkyle@hotmail.com,9601284487,Excellent
1794,Jennifer Palmer,HR,27,55875,Holderborough,2025-03-17,matthewmunoz@smith.com,2693019941,Good
1591,Jake Jones,Operations,57,53961,Lake Patricia,2019-01-30,williamshelen@hotmail.com,5084898337,Average
1033,Leah Cortez,Marketing,35,43184,Emmafort,2023-02-06,iyoung@hotmail.com,9470632796,Average
2105,James Hill,Operations,58,49143,Ellisfurt,2025-03-22,lynncarpenter@yahoo.com,7135543112,Good
1753,Jonathan Martinez,IT,40,27065,Johnsonmouth,2023-04-07,josephmurillo@smith.com,1435282389,Average
1323,Jessica Walter,Finance,43,78744,Lake Maryfurt,2021-09-09,cassie65@gmail.com,8306416833,Good
1802,Jorge Moore,HR,31,33748,Port Erica,2026-04-21,sandyburns@duran-ferguson.net,4649058599,Excellent
